"datatable.language.decimal","datatable.language.emptyTable","datatable.language.info","datatable.language.infoEmpty","datatable.language.infoFiltered","datatable.language.infoPostFix","datatable.language.thousands","datatable.language.lengthMenu","datatable.language.loadingRecords","datatable.language.processing","datatable.language.search","datatable.language.searchPlaceholder","datatable.language.zeroRecords","datatable.language.all","datatable.language.paginate.first","datatable.language.paginate.last","datatable.language.paginate.next","datatable.language.paginate.previous","datatable.language.buttons.colvis","datatable.language.buttons.copy","datatable.language.buttons.resetColumns","datatable.language.buttons.showAllColumns","datatable.language.buttons.changeColumns","datatable.language.aria.sortAscending","datatable.language.aria.sortDescending"
"","テーブルにデータがありません","_TOTAL_ エントリの _START_ から _END_ を表示しています","0エントリのうち0から0を表示","（合計 _MAX_ エントリからフィルタリング）","",",","_MENU_ エントリを表示","ローディング中...","処理中...","フィルター:","検索...","一致するレコードがありませんでした","全て","最初","最後","次","前","カラムを表示","コピー","カラムをリセット","すべてのカラムを表示","カラムを変更",": 列を昇順で並べ替えるには、アクティブにしてください",": 列を降順で並べ替えるには、アクティブにしてください"
