"common.accessDenied","common.add","common.and","common.anonymous","common.cancel","common.close","common.configureAccess","common.configureAccessModal.addWriteAccessToRole","common.configureAccessModal.loadingAccessList","common.configureAccessModal.revoke","common.configureAccessModal.rolesWithWriteAccess","common.copiedToClipboard","common.copy","common.copyOf","common.copyToClipboard","common.createACopy","common.create","common.days","common.daysAbbr","common.delete","common.deselectAll","common.download","common.downloading","common.export","common.import","common.loading","common.loadingWithDots","common.min","common.noChangesToPersist","common.notEnoughPermissions","common.or","common.preview","common.progress","common.refresh","common.save","common.search","common.selectAll","common.set","common.unsaved","common.unspecified","common.menu","common.noData","common.readOnly","common.tags","common.backToCurrent","common.saveAsCurrentVersion","common.unsavedWarning","common.savePreviewWarning"
"Access denied","Add","and","anonymous","Cancel","Close","Configure access","Add write access to role:","Loading access list...","Revoke","Roles with write access:","Copied To Clipboard!","Copy","Copy of <%=name%>","Copy to clipboard","Create a copy","Create","days","d","Delete","Deselect All","Download","Downloading...","Export","Import","Loading","Loading...","min","No changes to persist","Not enough permissions","or","Preview","Progress","Refresh","Save","Search","Select All","Set","(unsaved)","UNSPECIFIED!","Menu","No data","(Read only)","Tags","Back to current version","Save as current version","Unsaved changes will be lost. Proceed?","Save as current version?"
